"date,sofixBG,hicpBG,empBG,survIndustryBG,survRetailBG,survServiceBG,ppiBG,retailBG,importsBG,exportsBG,constBG,ipBG,arrivalsBG,survConsBG"
"01.01.2025,891.0365217,141.5226912,2350254.773,-0.8,12.8,8.5,163.7413412,160.5740528,119.9885725,115.5363627,97.81383818,106.7870951,1104141.373,104.5"
"01.02.2025,896.3535,141.9312591,2352912.482,-1.4,14,7.9,168.9483263,158.0803674,115.8746786,123.0739032,97.63353617,106.2286416,1110940.95,104.9"
"01.03.2025,901.9009524,142.2703815,2354056.545,-0.6,13.4,11.1,169.8166307,160.2571757,126.8450624,116.8318775,99.43655623,100.9633362,1108310.045,105.5"
"01.04.2025,885.0240909,140.461686,,-1.1,12.8,9.1,163.924027,161.2078071,,,98.80549921,101.7656952,1108584.53,102.6"
"01.05.2025,949.4863636,140.9021104,,1.7,17.3,11.3,160.918117,,,,,,1108924.997,103.5"
"01.06.2025,1010.032381,,,1,19,14.1,,,,,,,,104"
",,,,,,,,,,,,,,"
